Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
Costco,"Organic Snacking Apples Gala, 3 lbs",$5.59,,,3 lb,"['Non-GMO', 'Organic']",Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b0ec4900-debc-46a5-93a6-4413abede0fd.jpg,"
Costco,"Raspberries, 12 oz",$6.99,,,12 oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_59c675ff-3890-460e-acee-c031b8e5af8b.jpeg,"
Costco,Golden Pineapple,$2.99,,,1 ct,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8530c4ef-f61e-451c-9be6-405463fd020c.jpeg,"
Costco,"Blackberries, 12 oz",$5.59,,,12 oz,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5ac6c618-5ed2-4b21-88c0-ad0f02c9b7c7.jpg,"
Costco,"Honeycrisp Apples, 4 lbs",$7.49,,,4 lb,"['Non-GMO', 'Organic']",Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a818a5a2-8dd2-4cff-a612-9935c00c90df.jpg,"
Costco,"Organic Limes, 3 lbs",$8.69,,,3 lb,"['Organic', 'Non-GMO']",Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5eb12e33-365c-4eb3-8957-0384037ffaa3.jpg,"
Costco,"Gold Kiwi, 3 lbs",$7.99,,,3 lb,['Non-GMO'],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_08e140e4-142e-47ba-a472-0fb9698de328.jpg,"
Costco,"Mini Seedless Watermelon, 2 ct",$10.99,,,2 ct,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8cef72fa-e78a-42a1-9835-f6d958ac54e9.jpg,"
Costco,"Cantaloupe, 2 ct",$6.99,,,2 ct,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7da32cf4-463c-40a6-a0cb-32fe4ca2ba69.jpg,"
Costco,"Premium Plums, 3 lbs",$7.49,,,3 lb,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5fc296b8-f570-4ac4-a639-2da13f122e67.jpg,"
Costco,"Sable Black Seedless Grapes, 3 lbs",$9.99,,,3 lb,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6210b285-7838-42b8-8730-2d92f87dc093.jpeg,"
Costco,"Yellow Nectarines, 3 lbs",$8.69,,,3 lb,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_212a4644-7a1f-4b3d-8ba7-0225b66cde5f.jpg,"
Costco,"Organic Raspberries, 12 oz",$9.99,,,12 oz,"['Organic', 'Non-GMO']",,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7437def3-61e5-460a-86f9-747c68e6e955.jpg,"
Costco,"Seedless Lemons, 5 lbs",$10.99,,,5 lb,['Non-GMO'],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5d7e7006-6f30-4084-bedb-02af331f3700.jpg,"
Costco,"Cara Cara Oranges, 5 lbs",$8.69,,,5 lb,['In season'],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_65065b7a-9d60-46f2-a7ea-4f6fb7efc7b6.jpeg,"
Costco,Golden Hami Melon,$7.49,,,,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_15c3aeeb-1061-4d00-aea3-8cc32f41a01d.jpg,"
Costco,"Organic Fuji Apples, 4 lbs",$8.69,,,4 lb,"['Non-GMO', 'Organic']",Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ca62f39a-aaa3-4d82-a2be-5b4137077967.jpeg,"
Costco,"Imported Naval Oranges, 8 lbs",$10.99,,,8 lb,['In season'],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c3388857-8708-4a87-81d2-9e6af3b45503.jpg,"
Costco,"White Nectarines, 3 lbs",$8.69,,,3 lb,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1c309fc4-7212-4885-95b4-a64247e27ba8.jpg,"
Costco,"Organic Ataulfo Mangos, 6 ct",$10.59,,,6 ct,"['Organic', 'Non-GMO']",,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_431402a3-5df7-41e9-a5b7-e6022301cb77.jpg,"
Costco,"Wildtwist Apples, 4 lbs",$7.39,,,4 lb,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b6bf90c0-c1d6-4658-a5b2-99e94f7c166b.jpg,"
Costco,"Organic Green Kiwi, 4 lbs",$11.99,,,4 lb,['Organic'],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a29675a8-ae98-4666-9f37-f1f2bc2ca113.jpg,"
Costco,"Pink Apples, 4 lbs",$8.69,,,4 lb,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d18fe9eb-488a-4346-a922-23b7a7d8d471.jpg,"
Costco,"Del Monte Red Grapefruit Cups, Extra Light Syrup, 7 oz, 8 ct",$10.99,,,8 x 7 oz,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_27fa2ac9-f5b8-46ac-8431-ef40fe093f39.jpg,"
Costco,"Grapefruit, 5 lbs",$5.99,,,5 lb,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8fe165ba-8084-4942-89a4-ba4502954181.jpg,"
Costco,"Envy Apples, 4 lbs",$7.49,,,4 lb,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_72ca533d-9b36-460d-953d-88bffd96fa92.jpg,"
Costco,"Organic Long English Cucumber, 3 ct",$7.49,,,3 ct,"['Organic', 'Non-GMO']",Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b0393401-6b8a-4b35-9a34-c0ea42ccdc13.jpg,"
Costco,"Cocktail Cucumber, Greenhouse Grown, 1.5 lbs",$7.49,,,1.5 lb,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d8d5304c-04b6-412f-ae9c-a909d2120420.jpg,"
Costco,"Mixed Bell Peppers, 6 ct",$7.39,,,6 ct,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1750a055-3486-45a6-90ea-39501f4450f2.jpeg,"
Costco,"Organic Peeled Carrots, 2 lbs, 2-count",$6.99,,,2 x 2 lb,"['In season', 'Non-GMO']",Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5de229d7-8a61-489b-962a-c26df9933178.jpeg,"
Costco,"Grape Tomatoes, 2 lbs",$7.39,,,2 lb,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_72b9b769-8110-4410-8340-c89d62e23f15.jpeg,"
Costco,"Organic Spring Mix, 1 lb",$5.39,,,1 lb,"['Organic', 'Non-GMO']",Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fff34833-70b5-484b-98fe-50738056b028.jpg,"
Costco,"Gold Potatoes, 10 lbs",$5.99,,,10 lb,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_93d30097-4752-495d-9622-db842ff19013.jpeg,"
Costco,"Tomatoes on the Vine, Greenhouse Grown, 4 lbs",$8.69,,,4 lb,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4265bb3b-9e08-4ebc-aed8-d961ee33b789.jpg,"
Costco,"Organic Broccoli Florets, 2 lbs",$7.49,,,2 lb,['Organic'],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_bce6e8df-9158-4f36-935c-0d4ef3f31fa0.jpg,"
Costco,"Organic Crimini Mushrooms, 24 oz",$7.49,,,24 oz,['Organic'],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e5558e3f-2d3f-4348-9739-53b0602ec411.jpg,"
Costco,"Organic Celery Sticks, 2.5 lbs",$7.49,,,2.5 lb,"['Organic', 'Non-GMO']",Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1a8fec65-a134-4708-9da9-a4f4f2000871.jpg,"
Costco,"Mini Peppers, Greenhouse Grown, 1.5 lbs",$5.59,,,1.5 lb,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a3a99909-4a29-4925-aa00-627c53eed524.jpg,"
Costco,"Organic Green Beans, 2 lbs",$5.99,,,2 lb,"['Organic', 'Non-GMO']",Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b9c4c635-6208-431f-a609-14da8ccf7bf1.jpg,"
Costco,"Artisan Romaine Hearts, 5 ct",$6.99,,,5 ct,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fca783b0-be59-4475-8f43-fb2c13412ca2.jpg,"
Costco,"Gourmet Tomato Medley Greenhouse Grown, 2 lbs",$7.99,,,2 lb,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_711a8911-669e-45d5-b694-1bf5108504bf.jpg,"
Costco,"Gourmet Medley Potato, 5 lbs",$7.99,,,5 lb,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2043ed45-d697-474e-b7e8-18dcfa79a3ca.jpg,"
Costco,"Asparagus, 2.25 lbs",$5.99,,,2.25 lb,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5ad6eaa5-bbe3-4b5a-9ebb-48258b465ee6.jpg,"
Costco,"Organic White Mushrooms, 24 oz",$4.69,,,24 oz,"['Organic', 'Non-GMO']",Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1d92a738-211d-4642-a445-87c4e5f22f68.jpg,"
Costco,"Romaine Lettuce Hearts, 6 ct",$5.49,,,2 ct,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_be612170-23bd-4575-86e3-8c15ad19127e.jpg,"
Costco,"Yellow Jumbo Onions, 10 lbs",$10.99,,,10 lb,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7dc9a6ca-fd8c-4bbe-8921-4bb82226eb44.jpeg,"
Costco,"Baking Potatoes, 10 lbs",$5.99,,,10 lb,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a148f55d-1ee0-4088-853e-6864e0fed47d.jpg,"
Costco,"Organic Carrots, 6 lbs",$8.69,,,6 lb,"['In season', 'Non-GMO']",Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_12d3d55c-6952-4d76-b7cd-f7f9309938c4.jpeg,"
Costco,"Organic Brussels Sprouts, 2 lbs",$7.99,,,2 lb,"['Organic', 'Non-GMO']",Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_cc2c7fe5-1039-4894-96f5-fd6e3420fc5b.jpg,"
Costco,"Colossal Garlic, 2 lbs",$6.99,,,2 lb,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_659c537a-716d-4823-aeaa-16f10225caa3.jpg,"
